Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
12.6055,236,869.4781572676727,411.5933280381255,,,38.67
12.6704,237,848.720384506644,413.14362454057107,,,35.57
12.7420,238,778.5753753753754,416.93633633633635,,,44.27
12.7815,239,752.7965646806226,417.6041331186259,,,42.58
12.9044,240,723.3311132254995,418.78782112274024,500.1122978717395,0.3665325826164553,39.08
12.9225,241,667.3522254242715,420.0726865193724,,,49.20
12.9597,242,639.2284482758621,419.9686781609195,,,46.97
13.0405,243,553.3489583333333,419.87760416666663,,,43.13
13.0823,244,498.11337355455,418.70236299648064,,,45.17
13.1169,245,470.2002861230329,418.45092989985693,500.1122978717395,0.3665325826164553,44.38
13.1825,246,422.6311078858248,416.01935171746493,,,40.71
13.2574,247,356.8092485549133,413.02215799614646,,,42.90
13.2905,248,356.8092485549133,413.02215799614646,,,41.95
13.3490,249,338.1317406143345,411.6957906712173,,,38.63
13.4183,250,295.3433936955064,409.50167672702884,500.1122978717395,0.3665325826164553,41.55
13.4628,251,276.8026375625284,408.61550704865846,,,40.04
13.5185,252,276.8026375625284,408.61550704865846,,,36.95
13.5764,253,263.21997755331086,406.8221099887767,,,37.90
13.6143,254,259.9731450719823,406.1301218161683,,,37.82
13.7045,255,261.82526661197704,406.67240907847963,500.1122978717395,0.3665325826164553,34.94
13.7316,256,270.53733140655106,408.4650770712909,,,37.70
13.7652,257,284.57376686573764,409.73014819730145,,,37.46
13.8322,258,284.57376686573764,409.73014819730145,,,34.58
13.8966,259,323.93693693693695,411.4628682736791,,,37.42
13.9315,260,358.0851011948305,413.8593026091197,500.1122978717395,0.3665325826164553,36.87
13.9737,261,377.29321486268174,414.3381798599892,,,34.08
14.0649,262,447.07241476472245,418.5218371372217,,,37.03
14.1024,263,474.4112053456695,419.6178360318684,,,35.99
14.1705,264,474.4112053456695,419.6178360318684,,,33.22
14.2384,265,583.7209944751381,421.41528545119706,500.1122978717395,0.3665325826164553,33.11
14.2728,266,612.7423406862745,421.44791666666663,,,33.00
14.3581,267,642.373599439776,420.5591736694678,,,30.49
14.4201,268,700.0706295941195,420.3886225631192,,,32.56
14.4534,269,779.1820261437908,418.043137254902,,,33.90
14.5370,270,779.1820261437908,418.043137254902,500.1122978717395,0.3665325826164553,31.30
14.5923,271,870.7426700825505,412.1303729006547,,,32.88
14.6301,272,889.8841587025775,410.74920359108023,,,33.08
14.7143,273,906.1023851076206,409.2638161721931,,,30.59
14.7582,274,935.0785837651123,406.85118019573974,,,32.05
14.7932,275,957.0407147041593,405.53690685413005,500.1122978717395,0.3665325826164553,32.58
14.8647,276,965.7308558558559,404.2176238738739,,,30.24
14.9109,277,975.6777116964033,403.5916171056358,,,35.94
14.9471,278,975.6777116964033,403.5916171056358,,,35.27
15.0083,279,979.3154960981047,402.87402452619847,,,32.60
15.0811,280,971.7398504273503,403.56169871794873,500.1122978717395,0.3665325826164553,35.82
15.1213,281,964.6362649294246,404.4459826275787,,,34.74
15.1532,282,955.6091954022988,405.00855386260355,,,35.14
15.2262,283,945.5810847642409,406.01062959934586,,,32.59
15.2587,284,904.702710254261,409.190556021235,,,47.78
15.2945,285,904.702710254261,409.190556021235,500.27684950077736,0.3665325826164553,45.50
15.3601,286,886.9994553376906,410.37581699346407,,,41.76
15.4308,287,801.1075179657269,415.6771697070204,,,45.72
15.4648,288,777.160632877447,416.70689192813086,,,43.89
15.4995,289,751.2048,417.67386666666664,,,43.45
15.5662,290,751.2048,417.67386666666664,505.26232486905843,0.36826995702453,40.02
15.6177,291,695.455857385399,419.00990379173743,,,40.52
15.6507,292,635.823454429573,420.0108349267049,,,40.00
15.6864,293,608.1067027351969,420.2116020438834,,,36.77
15.7915,294,525.4587384692097,418.80354026427324,,,38.62
15.8270,295,469.8153115395362,418.1193070690137,505.26232486905843,0.36826995702453,39.88
15.8942,296,445.01724975704565,416.5561224489796,,,36.64
15.9678,297,377.6054320987654,414.1513580246914,,,37.74
16.0014,298,357.8295271049596,412.9531718569781,,,37.99
16.0780,299,339.05058275058275,411.6331002331002,,,35.07
16.1206,300,307.6814471652327,410.0847121111847,505.26232486905843,0.36826995702453,37.89
16.1683,301,285.7658514492754,408.93659420289856,,,37.23
16.2413,302,271.1360544217687,408.275267249757,,,34.21
16.3191,303,261.386260358193,406.0449077786688,,,36.19
16.3478,304,260.64085297418626,406.37991021324353,,,36.90
16.4243,305,262.224128540305,406.36846405228755,505.26232486905843,0.36826995702453,33.98
16.4890,306,272.4212897107634,408.4238975817923,,,35.73
16.5266,307,286.53554817275744,409.86334440753046,,,35.96
16.5764,308,286.53554817275744,409.86334440753046,,,33.21
16.6483,309,341.65983714210665,413.03388494877856,,,36.84
