Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
13.0818,250,955.4575656058068,406.7928531546622,501.9802079158296,0.3739407007269205,34.28
13.1164,251,945.7741507430998,407.58412951167725,,,31.69
13.2181,252,902.7343442853131,411.10699241786017,,,34.74
13.2610,253,883.6742296918767,411.91568627450977,,,34.40
13.3109,254,863.6801766692647,413.5539101065212,,,31.91
13.3668,255,796.9666388657214,416.9380038921323,501.9802079158296,0.3739407007269205,35.21
13.4097,256,771.1940093432262,418.26573234405055,,,35.32
13.4826,257,771.1940093432262,418.26573234405055,,,32.57
13.5382,258,658.0241411327762,420.36614051377285,,,34.30
13.5720,259,631.4086879432624,420.1793735224586,,,34.13
13.6491,260,602.5354200988468,420.73283909939596,501.9802079158296,0.36736492620805056,31.58
13.7194,261,515.5515016133036,418.80888557954825,,,32.82
13.7530,262,488.59902550874176,418.87618228718827,,,33.33
13.8213,263,463.65280871071514,417.4083147735709,,,30.86
13.8831,264,392.6586231369766,413.962857818784,,,31.89
13.9100,265,371.7287677957781,412.90500736377027,501.9802079158296,0.36736492620805056,33.05
13.9656,266,351.3266475644699,411.56781279847183,,,30.64
14.0293,267,305.1700969955051,408.83912940619825,,,30.58
14.0640,268,305.17009699550505,408.83912940619825,,,29.66
14.1113,269,293.4492362982929,408.262353998203,,,27.62
14.1834,270,268.51377091377094,406.3292149292149,501.9802079158296,0.36736492620805056,31.95
14.2209,271,263.39330543933056,404.98744769874475,,,31.29
14.2572,272,263.39330543933056,404.98744769874475,,,33.10
14.3174,273,262.02841530054644,404.657650273224,,,30.76
14.3643,274,268.188863807374,406.3624278906446,,,34.04
14.3974,275,273.5551659654044,407.3709677419355,501.9802079158296,0.36736492620805056,33.85
14.4535,276,280.54281767955797,407.4926335174954,,,31.38
14.5230,277,315.2545984746523,409.51749663526243,,,38.43
14.5654,278,346.85710747894996,411.14239722634966,,,37.16
14.6452,279,346.85710747894996,411.14239722634966,,,34.26
14.6903,280,406.26761347813976,415.6800334168755,501.9802079158296,0.36736492620805056,44.02
14.7283,281,430.8562567421791,416.6022114347357,,,42.26
14.7993,282,455.7803550973654,417.8021191294387,,,38.81
14.8646,283,509.7325830653805,419.71516613076096,,,42.15
14.9036,284,592.6288437884378,421.1414514145141,,,40.96
14.9816,285,592.6288437884378,421.1414514145141,501.9802079158296,0.36736492620805056,37.75
15.0221,286,652.2891450528339,420.895292987512,,,47.23
15.0563,287,681.031746031746,420.674117265954,,,45.04
15.1026,288,736.2072627612196,419.86605001712917,,,41.36
15.1974,289,812.8929841577756,416.78790817976073,,,42.88
15.2288,290,837.2800861803632,415.5801785164666,501.9802079158296,0.36736492620805056,43.39
15.3175,291,857.1131623931624,414.69299145299146,,,39.84
15.3614,292,911.9991319444445,410.1672453703704,,,40.29
15.3986,293,926.1094244149273,409.57906388361795,,,40.78
15.4453,294,940.7048260381594,407.9337822671156,,,37.56
15.5194,295,962.0666087460179,406.2658557775847,501.9802079158296,0.36736492620805056,44.88
15.5533,296,974.5011376564278,405.29635949943116,,,42.94
15.6149,297,977.7971366828741,405.02809292274446,,,39.51
15.6938,298,980.3598269802649,404.97026223303595,,,40.12
15.7222,299,977.0620538165842,405.0376166941241,,,40.43
15.7733,300,971.2016151489836,405.29963798384847,501.9802079158296,0.36736492620805056,37.36
15.8594,301,954.1307947019868,406.8921081677704,,,36.10
15.9246,302,930.6985018726591,408.739165329053,,,33.29
15.9970,303,900.5821635012387,411.0677126341866,,,37.20
16.0361,304,862.1126198083067,413.4161341853035,,,37.15
16.0773,305,817.5143540669857,415.9712918660287,501.9802079158296,0.36736492620805056,34.19
16.1713,306,768.1483451536643,418.0768321513002,,,38.99
16.2056,307,742.9705340699816,418.798210997106,,,39.09
16.2704,308,714.1718518518519,419.6228148148148,,,35.96
16.3333,309,601.040749796251,420.373811464276,,,38.72
16.3676,310,571.6152004787552,419.8815080789946,501.9802079158296,0.36538126653363245,37.97
16.4010,311,543.5627270187204,419.6378876781224,,,38.79
16.4486,312,543.5627270187204,419.6378876781224,,,35.78
16.5224,313,461.05146476642915,417.26444972288203,,,47.54
16.5644,314,413.8998661311914,414.53520749665324,,,45.24
16.6221,315,413.8998661311914,414.53520749665324,501.9802079158296,0.36538126653363245,41.54
16.6974,316,352.36378777064,411.2481560789912,,,43.92
16.7203,317,333.69885700956377,410.4861208304175,,,42.88
16.8351,318,318.15871868978803,409.5207129094412,,,39.45
16.8564,319,292.7627865961199,408.1058201058201,,,40.44
16.8903,320,277.015065913371,407.18502824858757,501.9802079158296,0.36538126653363245,40.69
16.9362,321,270.2102941176471,405.9049019607843,,,37.53
17.0118,322,262.05122143420016,404.8169162069871,,,38.41
17.0389,323,262.34641591714364,404.99427636958296,,,38.85
17.0988,324,262.34641591714364,404.99427636958296,,,35.88
17.1621,325,282.25244072524407,408.27150162715014,501.9802079158296,0.36538126653363245,36.81
17.1954,326,291.1216305062459,408.4207758053912,,,37.19
17.2739,327,302.1885135135135,408.8954954954955,,,34.34
17.3288,328,348.72846715328467,411.5596107055961,,,34.83
17.3567,329,365.6565481352992,413.33709164498407,,,35.92
17.4336,330,385.9122023809524,414.2089285714286,501.9802079158296,0.36538126653363245,33.28
17.4870,331,456.3931844215349,418.31586483390606,,,33.11
17.5666,332,511.1983333333333,419.98527777777775,,,30.60
17.6292,333,595.2293447293447,421.0282051282051,,,32.99
17.6652,334,595.2293447293447,421.0282051282051,,,33.71
17.7183,335,623.9345934593459,421.53285328532854,501.9802079158296,0.36538126653363245,31.20
17.7960,336,710.1150943396226,420.3738993710692,,,32.48
17.8299,337,736.5944220430108,419.53125,,,33.75
17.9246,338,788.4236732259988,418.1705426356589,,,31.16
17.9641,339,836.0743565300286,415.81283762313313,,,33.10
17.9968,340,857.9862481315396,414.0621823617339,501.9802079158296,0.36538126653363245,33.76
18.0693,341,877.5345454545454,412.7069696969697,,,31.27
18.1269,342,925.9083103342533,409.28028212204845,,,39.05
18.1680,343,950.3133271775931,406.94582948599566,,,37.56
18.2634,344,960.6708557749851,406.86594853381206,,,34.75
18.2970,345,974.0788232028865,405.4698862059395,501.9802079158296,0.36538126653363245,34.13
18.3576,346,977.5400168491997,404.9331648413367,,,31.56
18.4282,347,978.2855643044619,404.91364829396326,,,34.93
18.4676,348,969.7591553060679,405.5287356321839,,,34.99
18.5405,349,962.6438906752412,406.03135048231513,,,32.39
18.5890,350,941.1459874007121,408.240755957272,501.9802079158296,0.36538126653363245,41.92
18.6229,351,928.4137548530227,408.99667221297835,,,40.20
18.7094,352,928.4137548530227,408.99667221297835,,,36.96
18.7664,353,860.7402496099844,413.64040561622465,,,43.27
18.8077,354,815.76421449744,416.25922931824306,,,41.32
